Lw = 0, Lcosine = 1.0	0.6048538234229948	0.304028438714448	0.2855130016118506	0.46418425265866087
Lw = 0.1, Lcosine = 0.9	0.6998766617698385	0.36624407736747044	0.3351031414983494	0.573350508597629
Lw = 0.2, Lcosine = 0.8	0.7398217559690355	0.4247549536676255	0.3600581542587998	0.6079545619692603
Lw = 0.3, Lcosine = 0.7	0.7393611658311037	0.42197636194469207	0.36138963040736777	0.6124315718567825
Lw = 0.4, Lcosine = 0.6	0.7396300192538119	0.42347559055759393	0.3615511981599496	0.6091751371843693
Lw = 0.5, Lcosine = 0.5	0.7406388793507772	0.42158995819715317	0.3625083439492255	0.6052468847272009
Lw = 0.6, Lcosine = 0.4	0.7406164719034456	0.4211395182691836	0.36198219014223043	0.6069714216010715
Lw = 0.7, Lcosine = 0.3	0.7400392494040555	0.4202508126251381	0.36284552929562225	0.6014020506028996
Lw = 0.8, Lcosine = 0.2	0.7383384925944813	0.4201561940196532	0.3603531247012122	0.6009210323533436
Lw = 0.9, Lcosine = 0.1	0.7330917916042199	0.41740988653313693	0.3526988190921596	0.5966410655325725
Lw = 1.0, Lcosine = 0	0.7221293221280418	0.39480388961464685	0.35076683545629234	0.5823444457956621
Lw = 1.0, Lcosine = 1.5	0.74821066364979	0.42826371775988614	0.376798355766351	0.6190704166696444
Lw = 1.0, Lcosine = 1	0.7432919058073175	0.4315375733062234	0.37055625578427487	0.6117138242565137
Lw = 1.5, Lcosine = 1	0.7423353288203908	0.43146576691576743	0.3693355470702479	0.6108382238357235
